"DTXSID40616609;1,1,2,2,3,3-Hexafluorobutan-1-ol;119398-75-3;YIHRGKXNJGKSOT-UHFFFAOYSA-N;C4H4F6O;CC(F)(F)C(F)(F)C(O)(F)F;[M-H]-",181.0093587
DTXSID40883576;Hexafluoro-2-methyl-2-propanol;1515-14-6;FQDXJYBXPOMIBX-UHFFFAOYSA-N;C4H4F6O;CC(O)(C(F)(F)F)C(F)(F)F;[M-H]-,181.0093587
"DTXSID7061936;1,1,1,3,3,3-Hexafluoropropane-2,2-diamine;1737-80-0;NAIPMAOGJXOHIF-UHFFFAOYSA-N;C3H4F6N2;NC(N)(C(F)(F)F)C(F)(F)F;[M-H]-",181.0205921
DTXSID80382093;2-Aminohexafluoropropan-2-ol;31253-34-6;KENSSLIXPGVLRV-UHFFFAOYSA-N;C3H3F6NO;NC(O)(C(F)(F)F)C(F)(F)F;[M-H]-,182.0046077
"DTXSID2073227;1,1,1,3,3,3-Hexafluoropropane-2,2-diol;677-71-4;AKVXSYUWYXOLMY-UHFFFAOYSA-N;C3H2F6O2;OC(O)(C(F)(F)F)C(F)(F)F;[M-H]-",182.9886233
DTXSID20276407;Perfluoropropanamine;105579-92-8;JWHXMVCSSSOAHL-UHFFFAOYSA-N;C3H2F7N;NC(F)(F)C(F)(F)C(F)(F)F;[M-H]-,184.0002712
"DTXSID30702429;N-(1,1,2,3,3,3-Hexafluoropropyl)hypofluorous amide;78343-32-5;VUBUVASUIOOEQC-UHFFFAOYSA-N;C3H2F7N;FNC(F)(F)C(F)C(F)(F)F;[M-H]-",184.0002712
"DTXSID10840131;5-Amino-1,1,2,2-tetrafluorohex-4-en-3-one;81542-07-6;UNIRIOCDPRENCD-UHFFFAOYSA-N;C6H7F4NO;CC(=N)CC(=O)C(F)(F)C(F)F;[M-H]-",184.0391015
DTXSID60374714;Perfluoropropanol;72301-80-5;WBXAHKZHOCTGLP-UHFFFAOYSA-N;C3HF7O;OC(F)(F)C(F)(F)C(F)(F)F;[M-H]-,184.9842868
DTXSID80506035;Heptafluoropropan-2-ol;24427-67-6;QVXZSAWOXGFNIK-UHFFFAOYSA-N;C3HF7O;OC(F)(C(F)(F)F)C(F)(F)F;[M-H]-,184.9842868
DTXSID70578529;5-(Pentafluoroethyl)-1H-pyrazole;184782-98-7;QZJAVSFWFNBKFU-UHFFFAOYSA-N;C5H3F5N2;FC(F)(F)C(F)(F)C1=CC=NN1;[M-H]-,185.0143639
"DTXSID80341822;1H-Imidazole, 4-(pentafluoroethyl)-;81769-52-0;FBQFEOJPKJMEAG-UHFFFAOYSA-N;C5H3F5N2;FC(F)(F)C(F)(F)C1=CN=CN1;[M-H]-",185.0143639
DTXSID20531189;2-Fluoro-2-(trifluoromethyl)pent-4-enoic acid;73900-39-7;LSRSRZZCRJNODM-UHFFFAOYSA-N;C6H6F4O2;OC(=O)C(F)(CC=C)C(F)(F)F;[M-H]-,185.0231171
"DTXSID40958738;2,2,3,3-Tetrafluorobutanediimidic acid;377-37-7;MYWRUVWOYAPWLT-UHFFFAOYSA-N;C4H4F4N2O2;OC(=N)C(F)(F)C(F)(F)C(O)=N;[M-H]-",187.013615
"DTXSID10162648;Butanoic acid, 3,3,4,4-tetrafluoro-2,2-dimethyl-;144194-01-4;CHVZSYHRXGEBAJ-UHFFFAOYSA-N;C6H8F4O2;CC(C)(C(O)=O)C(F)(F)C(F)F;[M-H]-",187.0387672
DTXSID8059928;Tetrafluorosuccinic acid;377-38-8;YUDUFRYTKFGQCL-UHFFFAOYSA-N;C4H2F4O4;OC(=O)C(F)(F)C(F)(F)C(O)=O;[M-H]-,188.9816462
"DTXSID80385160;(2,2,3,3-tetrafluoropropoxy)acetic acid;870-51-9;LGOWEDZMVMBETP-UHFFFAOYSA-N;C5H6F4O3;OC(=O)COCC(F)(F)C(F)F;[M-H]-",189.0180317
"DTXSID30699022;4,4,5,5,5-Pentafluoro-3-methylpent-1-en-3-ol;754-67-6;OSYCKSNAKWKYFD-UHFFFAOYSA-N;C6H7F5O;CC(O)(C=C)C(F)(F)C(F)(F)F;[M-H]-",189.0344307
"DTXSID70182665;Imidazolidine, 2-pentafluoroethyl-;28462-90-0;XXWNWAHFOVJIQF-UHFFFAOYSA-N;C5H7F5N2;FC(F)(F)C(F)(F)C1NCCN1;[M-H]-",189.045664
"DTXSID10953275;2-(Pentafluoroethyl)-1,3-oxazolidine;31185-59-8;VMQCUTVOABKXPJ-UHFFFAOYNA-N;C5H6F5NO;FC(F)(F)C(F)(F)C1NCCO1;[M-H]-",190.0296796
"DTXSID00985126;[(1,1,2,2-Tetrafluoroethyl)sulfanyl]acetic acid;665-35-0;IHBIKJUTFVFDMX-UHFFFAOYSA-N;C4H4F4O2S;OC(=O)CSC(F)(F)C(F)F;[M-H]-",190.9795382
"DTXSID50536980;2,2,3,3-Tetrafluoro-3-(methylsulfanyl)propanoic acid;77705-92-1;ZWBMALRBYQLPIM-UHFFFAOYSA-N;C4H4F4O2S;CSC(F)(F)C(F)(F)C(O)=O;[M-H]-",190.9795382
"DTXSID70633884;4,4,5,5,5-Pentafluoropentanoic acid;3637-31-8;HHSIXPRDVJARSI-UHFFFAOYSA-N;C5H5F5O2;OC(=O)CCC(F)(F)C(F)(F)F;[M-H]-",191.0136952
"DTXSID00337368;5,5,6,6,6-Pentafluoro-2-hexanol;94099-52-2;IQSLPSCPSJUIBM-UHFFFAOYSA-N;C6H9F5O;CC(O)CCC(F)(F)C(F)(F)F;[M-H]-",191.0500807
"DTXSID80377823;5,5,6,6,6-pentafluorohexan-1-ol;58556-45-9;UEKOJSYLWJADHW-UHFFFAOYSA-N;C6H9F5O;OCCCCC(F)(F)C(F)(F)F;[M-H]-",191.0500807
