CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
FragScreen6744.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen7141.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen7368.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen7542.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen7937.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen7938.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen8108.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen8304.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen8320.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen8684.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen8702.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen8737.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen9072.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen9077.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen9459.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen9462.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen9645.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen9820.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen9834.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen10355.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen10540.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen10547.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen10555.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen10564.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen11113.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen11269.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen11271.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen11437.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
