Feature,RT,Intensity,mz,File,Zoom
104,9.28,2853,498.9313,AFFF3_Target_Neg.mzXML,1
104,9.29,3308,498.9313,AFFF3_Target_Neg.mzXML,1
104,9.31,2981,498.93008,AFFF3_Target_Neg.mzXML,1
104,9.32,3546,498.93065,AFFF3_Target_Neg.mzXML,1
104,9.33,2706,498.93072,AFFF3_Target_Neg.mzXML,1
104,9.34,3276,498.93188,AFFF3_Target_Neg.mzXML,1
104,9.36,2953,498.92957,AFFF3_Target_Neg.mzXML,1
104,9.37,3604,498.9298,AFFF3_Target_Neg.mzXML,1
104,9.38,1916,498.93009,AFFF3_Target_Neg.mzXML,1
104,9.39,3468,498.932,AFFF3_Target_Neg.mzXML,1
104,9.42,2730,498.93019,AFFF3_Target_Neg.mzXML,1
104,9.43,3987,498.92985,AFFF3_Target_Neg.mzXML,1
104,9.44,2089,498.93069,AFFF3_Target_Neg.mzXML,1
104,9.45,3487,498.93006,AFFF3_Target_Neg.mzXML,1
104,9.46,2660,498.93079,AFFF3_Target_Neg.mzXML,1
104,9.47,2766,498.9308,AFFF3_Target_Neg.mzXML,1
104,9.48,3904,498.93055,AFFF3_Target_Neg.mzXML,1
104,9.49,2578,498.92976,AFFF3_Target_Neg.mzXML,1
104,9.5,3113,498.92978,AFFF3_Target_Neg.mzXML,1
104,9.51,3456,498.93017,AFFF3_Target_Neg.mzXML,1
104,9.53,2579,498.93005,AFFF3_Target_Neg.mzXML,1
104,9.54,3405,498.93083,AFFF3_Target_Neg.mzXML,1
104,9.55,2611,498.93008,AFFF3_Target_Neg.mzXML,1
105,9.24,16341,598.9233,AFFF3_Target_Neg.mzXML,1
105,9.25,16620,598.92384,AFFF3_Target_Neg.mzXML,1
105,9.26,16469,598.92401,AFFF3_Target_Neg.mzXML,1
105,9.28,20283,598.9245,AFFF3_Target_Neg.mzXML,1
105,9.29,20164,598.92425,AFFF3_Target_Neg.mzXML,1
105,9.3,17304,598.92439,AFFF3_Target_Neg.mzXML,1
105,9.31,16549,598.92356,AFFF3_Target_Neg.mzXML,1
105,9.32,16504,598.92372,AFFF3_Target_Neg.mzXML,1
105,9.33,13156,598.92352,AFFF3_Target_Neg.mzXML,1
105,9.34,10037,598.9233,AFFF3_Target_Neg.mzXML,1
105,9.35,8475,598.9235,AFFF3_Target_Neg.mzXML,1
105,9.36,7553,598.92305,AFFF3_Target_Neg.mzXML,1
105,9.37,7572,598.92301,AFFF3_Target_Neg.mzXML,1
105,9.38,7061,598.92504,AFFF3_Target_Neg.mzXML,1
105,9.39,6029,598.92242,AFFF3_Target_Neg.mzXML,1
105,9.4,5847,598.92339,AFFF3_Target_Neg.mzXML,1
105,9.42,4481,598.92432,AFFF3_Target_Neg.mzXML,1
105,9.43,5820,598.92326,AFFF3_Target_Neg.mzXML,1
105,9.44,4290,598.92379,AFFF3_Target_Neg.mzXML,1
105,9.45,2679,598.92429,AFFF3_Target_Neg.mzXML,1
105,9.46,1711,598.92429,AFFF3_Target_Neg.mzXML,1
105,9.47,1901,598.92271,AFFF3_Target_Neg.mzXML,1
105,9.48,1089,598.92341,AFFF3_Target_Neg.mzXML,1
105,9.49,881,598.92278,AFFF3_Target_Neg.mzXML,1
105,9.5,825,598.92435,AFFF3_Target_Neg.mzXML,1
105,9.52,858,598.9226,AFFF3_Target_Neg.mzXML,1
105,9.53,1169,598.92376,AFFF3_Target_Neg.mzXML,1
105,9.54,1679,598.92342,AFFF3_Target_Neg.mzXML,1
105,9.55,1971,598.92467,AFFF3_Target_Neg.mzXML,1
105,9.56,3882,598.92319,AFFF3_Target_Neg.mzXML,1
105,9.57,4924,598.92452,AFFF3_Target_Neg.mzXML,1
105,9.58,7350,598.92443,AFFF3_Target_Neg.mzXML,1
105,9.59,11188,598.92324,AFFF3_Target_Neg.mzXML,1
105,9.6,14175,598.92375,AFFF3_Target_Neg.mzXML,1
105,9.61,18865,598.92386,AFFF3_Target_Neg.mzXML,1
105,9.62,23058,598.92458,AFFF3_Target_Neg.mzXML,1
105,9.63,23455,598.92386,AFFF3_Target_Neg.mzXML,1
105,9.64,26493,598.9238,AFFF3_Target_Neg.mzXML,1
105,9.65,26174,598.92346,AFFF3_Target_Neg.mzXML,1
105,9.66,22743,598.92392,AFFF3_Target_Neg.mzXML,1
105,9.67,24156,598.92355,AFFF3_Target_Neg.mzXML,1
105,9.68,16869,598.92381,AFFF3_Target_Neg.mzXML,1
105,9.69,12839,598.92333,AFFF3_Target_Neg.mzXML,1
105,9.7,11161,598.92329,AFFF3_Target_Neg.mzXML,1
105,9.71,8364,598.92358,AFFF3_Target_Neg.mzXML,1
105,9.72,6376,598.92401,AFFF3_Target_Neg.mzXML,1
105,9.74,2502,598.92421,AFFF3_Target_Neg.mzXML,1
105,9.75,711,598.92378,AFFF3_Target_Neg.mzXML,1
105,9.76,392,598.92477,AFFF3_Target_Neg.mzXML,1
105,9.79,174,598.92337,AFFF3_Target_Neg.mzXML,1
105,9.82,224,598.92376,AFFF3_Target_Neg.mzXML,1
105,9.91,113,598.92226,AFFF3_Target_Neg.mzXML,1
222,7,391,412.96606,AFFF3_Target_Neg.mzXML,1
222,7.02,572,412.96783,AFFF3_Target_Neg.mzXML,1
222,7.05,994,412.96652,AFFF3_Target_Neg.mzXML,1
222,7.07,977,412.96623,AFFF3_Target_Neg.mzXML,1
222,7.1,830,412.96541,AFFF3_Target_Neg.mzXML,1
222,7.11,260,412.96802,AFFF3_Target_Neg.mzXML,1
222,7.22,482,412.96784,AFFF3_Target_Neg.mzXML,1
222,7.23,616,412.96733,AFFF3_Target_Neg.mzXML,1
222,7.25,2091,412.96692,AFFF3_Target_Neg.mzXML,1
222,7.26,2697,412.96785,AFFF3_Target_Neg.mzXML,1
222,7.27,3661,412.96653,AFFF3_Target_Neg.mzXML,1
222,7.29,5279,412.96629,AFFF3_Target_Neg.mzXML,1
222,7.3,5350,412.9666,AFFF3_Target_Neg.mzXML,1
222,7.31,3147,412.96645,AFFF3_Target_Neg.mzXML,1
222,7.33,2529,412.9663,AFFF3_Target_Neg.mzXML,1
222,7.36,775,412.96764,AFFF3_Target_Neg.mzXML,1
222,7.38,138,412.9652,AFFF3_Target_Neg.mzXML,1
222,7.56,136,412.96547,AFFF3_Target_Neg.mzXML,1
1,5.35,14047,209.0848,AFFF3_Target_Neg.mzXML,1
1,5.37,12872,209.08556,AFFF3_Target_Neg.mzXML,1
1,5.39,13264,209.08529,AFFF3_Target_Neg.mzXML,1
1,5.4,16535,209.08564,AFFF3_Target_Neg.mzXML,1
1,5.42,27588,209.08426,AFFF3_Target_Neg.mzXML,1
1,5.44,25584,209.08481,AFFF3_Target_Neg.mzXML,1
1,5.46,18109,209.08513,AFFF3_Target_Neg.mzXML,1
1,5.48,9987,209.08515,AFFF3_Target_Neg.mzXML,1
1,5.5,4878,209.08521,AFFF3_Target_Neg.mzXML,1
1,5.52,4217,209.08522,AFFF3_Target_Neg.mzXML,1
1,5.54,2164,209.0846,AFFF3_Target_Neg.mzXML,1
1,5.57,884,209.08492,AFFF3_Target_Neg.mzXML,1
1,5.59,714,209.08629,AFFF3_Target_Neg.mzXML,1
1,5.63,1892,209.0841,AFFF3_Target_Neg.mzXML,1
1,5.65,7217,209.08409,AFFF3_Target_Neg.mzXML,1
1,5.67,35075,209.08478,AFFF3_Target_Neg.mzXML,1
1,5.69,169058,209.08518,AFFF3_Target_Neg.mzXML,1
