Feature,m/z,Intensity,Isotope,Formula,PredAbundance,File,Zoom
101,403.043469906223,1463.45373535156,,,,AFFF3_Target_Neg.mzXML,1
102,494.976610275755,973.017395019531,,,,AFFF3_Target_Neg.mzXML,1
102,495.093624175574,787.637390136719,,,,AFFF3_Target_Neg.mzXML,1
102,495.279317108363,1046.38781738281,,,,AFFF3_Target_Neg.mzXML,1
102,495.449005955212,1272.25146484375,,,,AFFF3_Target_Neg.mzXML,1
102,495.555728642318,1098.76013183594,,,,AFFF3_Target_Neg.mzXML,1
102,495.62001740737,1056.01318359375,,,,AFFF3_Target_Neg.mzXML,1
102,495.697182423886,1128.22229003906,,,,AFFF3_Target_Neg.mzXML,1
102,495.840078674941,979.012573242188,,,,AFFF3_Target_Neg.mzXML,1
102,495.965126110952,964.083312988281,,,,AFFF3_Target_Neg.mzXML,1
102,496.552960913907,494.156372070312,,,,AFFF3_Target_Neg.mzXML,1
102,496.706001415273,474.108154296875,,,,AFFF3_Target_Neg.mzXML,1
102,496.78418192075,399.413330078125,,,,AFFF3_Target_Neg.mzXML,1
102,496.906657733588,441.687103271484,,,,AFFF3_Target_Neg.mzXML,1
102,497.001237590862,524.2744140625,,,,AFFF3_Target_Neg.mzXML,1
102,497.067163118902,443.015686035156,,,,AFFF3_Target_Neg.mzXML,1
102,497.311916464869,757.0888671875,,,,AFFF3_Target_Neg.mzXML,1
102,498.320552322304,610.115417480469,,,,AFFF3_Target_Neg.mzXML,1
102,498.458143937719,511.56103515625,,,,AFFF3_Target_Neg.mzXML,1
102,498.515379781073,436.299987792969,,,,AFFF3_Target_Neg.mzXML,1
102,498.716396532596,575.685974121094,,,,AFFF3_Target_Neg.mzXML,1
102,498.933138822759,3902557.5,M,C8HF17O3S,,AFFF3_Target_Neg.mzXML,1
102,499.665083927195,945.016235351562,,,,AFFF3_Target_Neg.mzXML,1
102,499.805652714433,465.466491699219,,,,AFFF3_Target_Neg.mzXML,1
102,499.846877484092,634.170043945312,,,,AFFF3_Target_Neg.mzXML,1
102,499.9336752228,562142.5,33S1(0.79%;0.00115Da)_13C1(1.08%;0.00282Da)_15N1(0.37%;0.00350Da),,,AFFF3_Target_Neg.mzXML,1
102,500.650480308812,773.47314453125,,,,AFFF3_Target_Neg.mzXML,1
102,500.81891843255,552.897521972656,,,,AFFF3_Target_Neg.mzXML,1
102,500.928180231853,275953.4375,34S1(4.47%;0.00075Da)_37Cl1(32.00%;0.00201Da)_81Br1(97.28%;0.00291Da),,,AFFF3_Target_Neg.mzXML,1
102,501.742830931568,797.363830566406,,,,AFFF3_Target_Neg.mzXML,1
102,501.93064213197,25791.22265625,,,,AFFF3_Target_Neg.mzXML,1
102,502.209987357907,394.054473876953,,,,AFFF3_Target_Neg.mzXML,1
102,502.305757480702,529.835021972656,,,,AFFF3_Target_Neg.mzXML,1
102,502.93148920979,2520.4716796875,81Br2(94.63%;0.00245Da)_36S1(0.01%;0.00334Da)_37Cl2(10.24%;0.00425Da),,,AFFF3_Target_Neg.mzXML,1
103,494.98341707715,911.5,,,,AFFF3_Target_Neg.mzXML,1
103,495.29386508799,1574.40002441406,,,,AFFF3_Target_Neg.mzXML,1
103,495.450336702397,1598.8896484375,,,,AFFF3_Target_Neg.mzXML,1
103,495.537630838968,1607.02551269531,,,,AFFF3_Target_Neg.mzXML,1
103,495.640531139945,1622.25610351562,,,,AFFF3_Target_Neg.mzXML,1
103,495.772507522825,1301.99169921875,,,,AFFF3_Target_Neg.mzXML,1
103,495.959104344141,1077.05847167969,,,,AFFF3_Target_Neg.mzXML,1
103,496.036438013123,1138.12658691406,,,,AFFF3_Target_Neg.mzXML,1
103,497.318574187331,639.066040039062,,,,AFFF3_Target_Neg.mzXML,1
103,497.830455681236,466.664184570312,,,,AFFF3_Target_Neg.mzXML,1
103,498.037832390351,479.080932617188,,,,AFFF3_Target_Neg.mzXML,1
103,498.139259318648,601.203002929688,,,,AFFF3_Target_Neg.mzXML,1
103,498.526676616629,682.811218261719,,,,AFFF3_Target_Neg.mzXML,1
103,498.622073425478,722.25,,,,AFFF3_Target_Neg.mzXML,1
103,498.933818727808,4085130.25,M,C8HF17O3S,,AFFF3_Target_Neg.mzXML,1
103,499.818075241593,1036.85437011719,,,,AFFF3_Target_Neg.mzXML,1
103,499.932874210277,830916.375,33S1(0.79%;0.00033Da)_15N1(0.37%;0.00202Da)_13C1(1.08%;0.00430Da),,,AFFF3_Target_Neg.mzXML,1
103,500.603045792961,672.516662597656,,,,AFFF3_Target_Neg.mzXML,1
103,500.656845335197,1050.89501953125,,,,AFFF3_Target_Neg.mzXML,1
103,500.730018083894,764.185974121094,,,,AFFF3_Target_Neg.mzXML,1
103,500.802518324408,1013.61437988281,,,,AFFF3_Target_Neg.mzXML,1
103,500.850783523447,800.860290527344,,,,AFFF3_Target_Neg.mzXML,1
103,500.927304772963,428793.375,34S1(4.47%;0.00231Da)_37Cl1(32.00%;0.00356Da)_81Br1(97.28%;0.00447Da),,,AFFF3_Target_Neg.mzXML,1
103,501.584493229342,445.926879882812,,,,AFFF3_Target_Neg.mzXML,1
103,501.619285323851,444.628631591797,,,,AFFF3_Target_Neg.mzXML,1
103,501.667872758133,499.922454833984,,,,AFFF3_Target_Neg.mzXML,1
103,501.723986502018,479.775299072266,,,,AFFF3_Target_Neg.mzXML,1
103,501.930828707375,36380.42578125,,,,AFFF3_Target_Neg.mzXML,1
103,502.028482052417,728.083312988281,,,,AFFF3_Target_Neg.mzXML,1
103,502.317226523375,550.314819335938,,,,AFFF3_Target_Neg.mzXML,1
103,502.437776308058,496.898132324219,,,,AFFF3_Target_Neg.mzXML,1
103,502.566122339384,419.659545898438,,,,AFFF3_Target_Neg.mzXML,1
103,502.788474669065,421.225067138672,,,,AFFF3_Target_Neg.mzXML,1
103,502.930971986344,4088.26293945312,81Br2(94.63%;0.00125Da)_36S1(0.01%;0.00214Da)_37Cl2(10.24%;0.00305Da),,,AFFF3_Target_Neg.mzXML,1
103,503.067255684421,431.301025390625,,,,AFFF3_Target_Neg.mzXML,1
103,503.299537777359,441.373870849609,,,,AFFF3_Target_Neg.mzXML,1
104,494.957777231016,131.126968383789,,,,AFFF3_Target_Neg.mzXML,1
104,495.058053994921,270.857147216797,,,,AFFF3_Target_Neg.mzXML,1
104,495.186195610105,1003.80627441406,,,,AFFF3_Target_Neg.mzXML,1
104,495.322319730161,223.399200439453,,,,AFFF3_Target_Neg.mzXML,1
104,495.719805751581,114.240386962891,,,,AFFF3_Target_Neg.mzXML,1
104,496.098313303021,194.942962646484,,,,AFFF3_Target_Neg.mzXML,1
104,496.19389773609,262.3837890625,,,,AFFF3_Target_Neg.mzXML,1
104,496.276017148179,150.586212158203,,,,AFFF3_Target_Neg.mzXML,1
104,496.334857361586,118.100807189941,,,,AFFF3_Target_Neg.mzXML,1
104,497.0487372812,438.116149902344,,,,AFFF3_Target_Neg.mzXML,1
104,497.08890592584,403.969696044922,,,,AFFF3_Target_Neg.mzXML,1
104,497.171234644405,460.011352539062,,,,AFFF3_Target_Neg.mzXML,1
104,497.219874748956,157.20832824707,,,,AFFF3_Target_Neg.mzXML,1
104,497.25953842252,125.909088134766,,,,AFFF3_Target_Neg.mzXML,1
104,497.323628954575,300.510650634766,,,,AFFF3_Target_Neg.mzXML,1
104,497.429272003999,160.045974731445,,,,AFFF3_Target_Neg.mzXML,1
104,498.04342909613,153.043273925781,,,,AFFF3_Target_Neg.mzXML,1
104,498.16514912999,282.614471435547,,,,AFFF3_Target_Neg.mzXML,1
104,498.195246367299,116.083335876465,,,,AFFF3_Target_Neg.mzXML,1
104,498.272794699437,151.530731201172,,,,AFFF3_Target_Neg.mzXML,1
104,498.308310854359,115.189392089844,,,,AFFF3_Target_Neg.mzXML,1
104,498.775072466107,198.333892822266,,,,AFFF3_Target_Neg.mzXML,1
104,498.929692353222,4464.00439453125,M,C8HF17O3S,,AFFF3_Target_Neg.mzXML,1
104,498.999779230391,166.25,,,,AFFF3_Target_Neg.mzXML,1
104,499.082174198191,252.000900268555,,,,AFFF3_Target_Neg.mzXML,1
104,499.200151951234,100.533332824707,,,,AFFF3_Target_Neg.mzXML,1
104,499.299671761643,128.414215087891,,,,AFFF3_Target_Neg.mzXML,1
104,499.36465304494,172.030303955078,,,,AFFF3_Target_Neg.mzXML,1
104,499.408252019306,189.176223754883,,,,AFFF3_Target_Neg.mzXML,1
104,499.926610222196,241.661163330078,15N1(0.37%;0.00012Da)_33S1(0.79%;0.00247Da),,,AFFF3_Target_Neg.mzXML,1
104,499.968861630653,1361.095703125,,,,AFFF3_Target_Neg.mzXML,1
104,500.079643520226,372.795928955078,,,,AFFF3_Target_Neg.mzXML,1
104,500.109272657696,189.098297119141,,,,AFFF3_Target_Neg.mzXML,1
104,500.234243565009,165.184432983398,,,,AFFF3_Target_Neg.mzXML,1
104,500.324838299778,648.006042480469,,,,AFFF3_Target_Neg.mzXML,1
104,500.427327344572,124.038795471191,,,,AFFF3_Target_Neg.mzXML,1
104,500.471325261768,224.692108154297,,,,AFFF3_Target_Neg.mzXML,1
104,500.931102445799,191.409088134766,18O1(0.21%;0.00283Da)_81Br1(97.28%;0.00346Da)_37Cl1(32.00%;0.00436Da),,,AFFF3_Target_Neg.mzXML,1
104,501.005693443255,194.343933105469,,,,AFFF3_Target_Neg.mzXML,1
104,501.062090660885,228.884704589844,,,,AFFF3_Target_Neg.mzXML,1
104,501.272523387297,267.003082275391,,,,AFFF3_Target_Neg.mzXML,1
104,501.3236681341,1059.46411132812,,,,AFFF3_Target_Neg.mzXML,1
104,501.769246323266,140.530883789062,,,,AFFF3_Target_Neg.mzXML,1
104,501.945610378571,146.448623657227,,,,AFFF3_Target_Neg.mzXML,1
104,502.02900713389,186.177520751953,,,,AFFF3_Target_Neg.mzXML,1
104,502.060677707027,149.670639038086,,,,AFFF3_Target_Neg.mzXML,1
104,502.309385170988,278.740600585938,,,,AFFF3_Target_Neg.mzXML,1
104,502.361752732971,241.181182861328,,,,AFFF3_Target_Neg.mzXML,1
104,502.60384492426,106.083335876465,,,,AFFF3_Target_Neg.mzXML,1
104,502.733540678386,152.091583251953,,,,AFFF3_Target_Neg.mzXML,1
104,503.009332854419,177.903686523438,,,,AFFF3_Target_Neg.mzXML,1
104,503.057884865889,219.240036010742,,,,AFFF3_Target_Neg.mzXML,1
104,503.148684515067,104.145347595215,,,,AFFF3_Target_Neg.mzXML,1
104,503.266614022311,171.007263183594,,,,AFFF3_Target_Neg.mzXML,1
104,503.315760305712,470.357269287109,,,,AFFF3_Target_Neg.mzXML,1
104,503.359897531444,219.059204101562,,,,AFFF3_Target_Neg.mzXML,1
104,503.463477262834,146.577850341797,,,,AFFF3_Target_Neg.mzXML,1
104,503.882667253019,197.287231445312,,,,AFFF3_Target_Neg.mzXML,1
106,594.961435793033,3815.49609375,,,,AFFF3_Target_Neg.mzXML,1
106,595.05116416725,124.580360412598,,,,AFFF3_Target_Neg.mzXML,1
106,595.557053441034,118.198768615723,,,,AFFF3_Target_Neg.mzXML,1
106,595.698591674789,117,,,,AFFF3_Target_Neg.mzXML,1
106,595.966432650515,227.79020690918,,,,AFFF3_Target_Neg.mzXML,1
106,596.428999970294,120.556816101074,,,,AFFF3_Target_Neg.mzXML,1
106,596.483502283185,110.69605255127,,,,AFFF3_Target_Neg.mzXML,1
106,596.92513219393,198.117645263672,,,,AFFF3_Target_Neg.mzXML,1
106,596.972369783614,304.369018554688,,,,AFFF3_Target_Neg.mzXML,1
106,597.047013872285,240.644226074219,,,,AFFF3_Target_Neg.mzXML,1
106,597.071615211258,238.089080810547,,,,AFFF3_Target_Neg.mzXML,1
106,597.111223093853,180.25,,,,AFFF3_Target_Neg.mzXML,1
106,597.208235587028,202.702224731445,,,,AFFF3_Target_Neg.mzXML,1
106,597.377674327594,226.125,,,,AFFF3_Target_Neg.mzXML,1
106,597.483251138729,235.429428100586,,,,AFFF3_Target_Neg.mzXML,1
106,597.504685825728,183.077529907227,,,,AFFF3_Target_Neg.mzXML,1
106,597.673434177079,112.400001525879,,,,AFFF3_Target_Neg.mzXML,1
106,597.711895620928,203.976272583008,,,,AFFF3_Target_Neg.mzXML,1
106,597.764200313212,148.111846923828,,,,AFFF3_Target_Neg.mzXML,1
106,597.84232144183,238.45832824707,,,,AFFF3_Target_Neg.mzXML,1
106,597.944230975935,208.471160888672,,,,AFFF3_Target_Neg.mzXML,1
106,598.053641801167,203.892852783203,,,,AFFF3_Target_Neg.mzXML,1
106,598.10000930333,268.265716552734,,,,AFFF3_Target_Neg.mzXML,1
106,598.243664270413,149.680236816406,,,,AFFF3_Target_Neg.mzXML,1
106,598.505381333493,166.111846923828,,,,AFFF3_Target_Neg.mzXML,1
106,598.81451953805,215.287414550781,,,,AFFF3_Target_Neg.mzXML,1
106,598.879040219549,181.125,,,,AFFF3_Target_Neg.mzXML,1
106,598.957266760069,131.343215942383,M,C10HF21O3S,,AFFF3_Target_Neg.mzXML,1
106,599.00079645655,348.0634765625,,,,AFFF3_Target_Neg.mzXML,1
106,599.049584870881,173.599304199219,,,,AFFF3_Target_Neg.mzXML,1
106,599.091285701694,154.920455932617,,,,AFFF3_Target_Neg.mzXML,1
106,599.230796918891,182.044448852539,,,,AFFF3_Target_Neg.mzXML,1
106,599.324692876491,226.482147216797,,,,AFFF3_Target_Neg.mzXML,1
106,599.623759759159,239.654525756836,,,,AFFF3_Target_Neg.mzXML,1
106,599.860692176513,124.153846740723,,,,AFFF3_Target_Neg.mzXML,1
106,599.918101024212,134.017852783203,,,,AFFF3_Target_Neg.mzXML,1
106,599.984775927399,136.721160888672,,,,AFFF3_Target_Neg.mzXML,1
106,600.027489254026,222.130844116211,,,,AFFF3_Target_Neg.mzXML,1
106,600.145910264973,143.005950927734,,,,AFFF3_Target_Neg.mzXML,1
106,600.196183785732,147.953384399414,,,,AFFF3_Target_Neg.mzXML,1
106,600.315875230839,188.164947509766,,,,AFFF3_Target_Neg.mzXML,1
106,600.560715138952,120.961959838867,,,,AFFF3_Target_Neg.mzXML,1
106,600.803906623542,105.510414123535,,,,AFFF3_Target_Neg.mzXML,1
106,600.909250340675,350.0625,,,,AFFF3_Target_Neg.mzXML,1
106,600.969635312861,735.21044921875,,,,AFFF3_Target_Neg.mzXML,1
106,601.037716395137,440.501495361328,,,,AFFF3_Target_Neg.mzXML,1
106,601.086196205495,155.728897094727,,,,AFFF3_Target_Neg.mzXML,1
106,601.145198278285,118.017860412598,,,,AFFF3_Target_Neg.mzXML,1
106,601.307089229341,173.06640625,,,,AFFF3_Target_Neg.mzXML,1
106,601.441725100749,137.801666259766,,,,AFFF3_Target_Neg.mzXML,1
106,601.580480598468,142.5,,,,AFFF3_Target_Neg.mzXML,1
106,601.640058878659,122.570755004883,,,,AFFF3_Target_Neg.mzXML,1
106,601.894955602856,263.556823730469,,,,AFFF3_Target_Neg.mzXML,1
106,601.930827891061,215.053573608398,,,,AFFF3_Target_Neg.mzXML,1
106,602.034087505324,367486.6875,,,,AFFF3_Target_Neg.mzXML,1
106,602.790033920086,229.868469238281,,,,AFFF3_Target_Neg.mzXML,1
106,602.863858000685,208.933074951172,,,,AFFF3_Target_Neg.mzXML,1
