Feature,m/z,Intensity,Isotope,Formula,PredAbundance,File,Zoom
102,494.967130023785,679.099182128906,,,,AFFF3_Target_Neg.mzXML,1
102,495.016668102853,760.876586914062,,,,AFFF3_Target_Neg.mzXML,1
102,495.165501616382,870.0595703125,,,,AFFF3_Target_Neg.mzXML,1
102,495.248903133441,810.002258300781,,,,AFFF3_Target_Neg.mzXML,1
102,495.347078411664,919.093994140625,,,,AFFF3_Target_Neg.mzXML,1
102,495.424623831758,986.861328125,,,,AFFF3_Target_Neg.mzXML,1
102,495.523755779649,1139.07556152344,,,,AFFF3_Target_Neg.mzXML,1
102,495.633781608413,945.965270996094,,,,AFFF3_Target_Neg.mzXML,1
102,495.687718696175,968.55126953125,,,,AFFF3_Target_Neg.mzXML,1
102,495.750285214673,865.76220703125,,,,AFFF3_Target_Neg.mzXML,1
102,495.823352753422,813.853820800781,,,,AFFF3_Target_Neg.mzXML,1
102,495.936507655083,924.653076171875,,,,AFFF3_Target_Neg.mzXML,1
102,496.089788822789,828.655395507812,,,,AFFF3_Target_Neg.mzXML,1
102,496.469757511407,416.116394042969,,,,AFFF3_Target_Neg.mzXML,1
102,496.579000709189,389.240020751953,,,,AFFF3_Target_Neg.mzXML,1
